Date,Daily Max 1-hour NO2 Concentration(ppb),DAILY_AQI_VALUE,DAILY_OBS_COUNT,PERCENT_COMPLETE,0EM_HIGH,0EM_AVG,0EM_LOW,DEW_HIGH,DEW_AVG,DEW_LOW,HUM_HIGH,HUM_AVG,HUM_LOW,SLP_HIGH,SLP_AVG,SLP_LOW,VIS_HIGH,VIS_AVG,VIS_LOW,WIN_HIGH,WIN_AVG,PRECIP,MUSIC
08/22/2015,9.4,8,24,100,37,31,24,24,23,18,94,65,35,1015,1013,1010,16,16,16,21,10,0,0
08/23/2015,9.2,8,22,92,38,32,24,24,22,18,94,64,33,1017,1015,1013,16,16,16,19,8,0,0
08/24/2015,12.9,11,21,88,38,32,24,23,20,17,87,58,29,1018,1016,1014,16,16,16,14,4,0,0
08/25/2015,9.5,8,19,79,38,32,25,22,20,18,79,56,33,1018,1016,1015,16,16,16,19,5,0,0
08/26/2015,20.3,19,24,100,37,30,23,22,20,18,87,62,36,1020,1017,1015,16,16,16,13,4,0,0
08/27/2015,8.9,8,24,100,37,30,23,22,18,13,87,56,25,1018,1016,1014,16,16,16,19,6,0,0
08/28/2015,9.9,8,24,100,37,29,22,18,16,14,73,50,27,1015,1014,1012,16,16,16,19,7,0,0
08/29/2015,10.2,9,24,100,35,28,22,18,17,16,79,55,31,1017,1015,1013,16,16,16,14,5,0,0
08/30/2015,6.5,6,20,83,36,30,24,19,18,17,74,55,36,1016,1015,1013,16,16,16,16,5,0,0
08/31/2015,9.1,8,24,100,36,30,23,22,19,16,87,59,30,1018,1015,1012,16,16,16,26,9,0,0
09/01/2015,11.2,10,24,100,34,29,23,22,21,17,87,64,41,1018,1016,1013,16,16,16,23,8,0,0
09/02/2015,8,8,24,100,35,28,22,21,19,18,90,65,39,1019,1016,1012,16,16,16,19,7,0,0
09/03/2015,14.8,13,24,100,34,29,23,22,21,18,87,64,41,1015,1013,1009,16,16,16,21,5,0,0
09/04/2015,7.2,7,24,100,38,31,24,23,22,19,88,62,35,1015,1013,1010,16,16,16,23,9,0,0
09/05/2015,1.2,1,24,100,38,32,26,25,23,19,91,62,33,1017,1014,1012,16,16,16,26,11,0.25,0
09/06/2015,3.1,3,22,92,38,31,24,24,22,18,94,63,31,1017,1014,1011,16,16,13,19,9,0,0
09/07/2015,2.1,2,24,100,38,31,24,23,21,18,88,61,33,1015,1013,1010,16,16,16,21,9,0,0
09/08/2015,6.1,6,24,100,37,31,24,23,22,18,88,61,33,1015,1012,1008,16,16,16,16,7,0,0
09/09/2015,5.7,5,19,79,34,29,23,24,23,20,100,74,47,1015,1013,1009,16,12,1,16,5,26.67,0
09/10/2015,10,9,19,79,36,29,22,24,23,20,100,71,42,1015,1013,1009,16,12,0,26,3,20.07,0
09/11/2015,9.3,8,24,100,34,29,24,24,23,20,94,72,49,1015,1013,1011,16,13,6,19,4,T,0
09/12/2015,7.8,7,24,100,33,27,21,22,14,8,87,55,23,1019,1016,1014,16,16,16,21,9,0,0
09/13/2015,5.6,5,22,92,33,25,17,14,11,8,73,49,24,1019,1016,1014,16,16,16,21,7,0,0
09/14/2015,11.6,10,24,100,32,25,18,20,14,11,79,53,27,1018,1016,1014,16,16,16,19,8,0,0
09/15/2015,6.6,6,24,100,35,29,23,22,21,20,87,67,46,1019,1016,1014,16,16,11,26,9,T,0
09/16/2015,3.1,3,24,100,34,29,24,23,22,21,94,72,49,1020,1017,1015,16,15,3,21,9,1.02,0
09/17/2015,4.8,4,24,100,36,30,24,23,22,18,94,67,39,1018,1015,1011,16,16,16,21,9,0,0
09/18/2015,5.4,5,24,100,36,30,24,23,21,16,94,64,33,1014,1012,1009,16,16,16,19,9,0,0
09/19/2015,5.9,5,24,100,36,29,23,23,20,12,94,60,26,1016,1013,1011,16,16,16,14,5,0,0
09/20/2015,2.6,2,22,92,35,28,21,21,17,14,90,60,30,1016,1014,1012,,,,14,4,0,0
09/21/2015,16.7,15,24,100,35,29,23,22,18,12,87,57,26,1016,1014,1012,,,,19,6,0,0
09/22/2015,8.7,8,24,100,36,29,21,19,18,16,79,56,33,1017,1015,1014,16,16,16,16,6,0,0
09/23/2015,11.1,10,24,100,34,27,20,21,17,12,90,58,26,1017,1015,1013,16,16,14,16,3,0,0
09/24/2015,21.9,20,24,100,35,28,21,18,14,11,73,49,24,1017,1015,1014,16,16,16,16,3,0,0
09/25/2015,11.7,10,24,100,36,29,22,19,18,16,79,58,36,1017,1016,1013,16,16,16,19,4,T,0
09/26/2015,16.6,15,24,100,35,28,20,18,15,11,84,54,24,1015,1013,1011,16,16,16,19,5,0,0
09/27/2015,4.5,4,20,83,35,27,19,19,15,11,76,50,24,1014,1011,1009,16,16,16,21,3,0,0
09/28/2015,7.2,7,24,100,32,26,21,19,17,16,90,64,38,1012,1010,1008,16,16,11,19,5,0,0
09/29/2015,7.8,7,18,75,34,27,19,19,18,17,87,63,38,1013,1011,1010,16,16,16,16,4,0,0
09/30/2015,13.1,12,22,92,35,28,21,18,17,14,84,56,28,1016,1014,1012,16,16,16,16,4,0,0
10/01/2015,10,9,24,100,34,28,21,17,16,14,73,52,30,1019,1016,1013,16,15,2,19,6,0,0
10/02/2015,7.7,7,24,100,32,26,19,14,10,4,68,45,22,1018,1015,1012,16,16,16,19,7,0,1
10/03/2015,10.7,9,24,100,31,22,13,7,6,4,57,40,22,1014,1012,1009,16,16,16,13,5,0,1
10/04/2015,9.2,8,22,92,31,23,15,10,8,7,67,45,23,1016,1014,1012,16,16,16,13,4,0,1
10/05/2015,13.9,12,24,100,29,24,19,13,11,9,57,45,32,1019,1017,1014,16,16,16,14,3,0,1
10/06/2015,16.5,15,24,100,32,25,17,13,12,9,63,44,24,1021,1018,1016,16,16,16,13,4,0,1
10/07/2015,16.2,15,24,100,33,25,17,17,14,12,72,54,36,1019,1016,1014,16,16,16,19,5,0,1
10/08/2015,13.6,12,24,100,33,27,20,21,18,15,90,64,38,1018,1016,1014,16,16,16,16,5,0,1
10/09/2015,10.1,9,24,100,31,27,22,19,18,17,79,62,45,1021,1018,1016,16,16,14,13,3,0,1
10/10/2015,15.7,14,24,100,32,26,19,17,15,14,78,56,34,1023,1020,1017,16,16,16,16,5,0,1
10/11/2015,14.2,13,21,88,35,27,18,18,16,15,78,55,31,1017,1013,1009,16,16,16,21,6,0,1
10/12/2015,11,10,24,100,37,30,22,23,19,18,90,62,33,1010,1008,1006,16,15,8,21,9,0,0
10/13/2015,16.8,15,23,96,34,26,18,23,7,-2,79,45,10,1017,1014,1011,16,16,16,19,9,0,0
10/15/2015,14,13,19,79,35,26,17,19,13,8,87,55,23,1020,1018,1015,16,16,11,19,7,0,0
10/16/2015,22.7,21,24,100,32,24,17,19,13,9,93,60,26,1023,1021,1019,16,16,16,19,3,0,0
10/17/2015,14.6,13,24,100,31,24,17,12,9,6,67,46,25,1026,1023,1022,16,16,16,14,7,0,0
10/18/2015,11.5,10,22,92,29,22,14,6,2,-2,51,33,14,1028,1025,1023,16,16,16,14,6,0,0
10/19/2015,33.3,31,19,79,30,21,12,12,7,3,67,46,25,1025,1022,1019,16,16,16,19,6,0,0
10/20/2015,19.6,18,24,100,31,23,14,20,14,11,86,61,35,1022,1019,1015,16,16,16,21,7,0,0
10/21/2015,5.6,5,24,100,30,26,22,21,20,18,90,71,51,1020,1018,1015,16,16,14,26,12,T,0
10/22/2015,7.9,7,24,100,28,24,21,23,21,19,100,85,69,1017,1015,1011,16,12,3,26,11,4.06,0
10/23/2015,5.7,5,24,100,27,24,22,24,23,21,100,91,82,1014,1012,1010,16,12,1,34,9,10.92,0
10/24/2015,0.5,0,24,100,24,20,16,23,19,16,100,94,87,1016,1012,1009,16,7,1,27,14,121.67,0
10/25/2015,1.4,1,20,83,18,16,14,14,14,13,100,89,78,1018,1016,1015,16,13,5,27,15,16.51,0
10/26/2015,4.3,4,24,100,26,21,14,14,12,10,78,62,45,1017,1015,1012,16,16,16,24,10,0,0
10/27/2015,24.5,23,24,100,29,22,14,13,12,8,93,61,28,1014,1011,1007,16,16,16,13,5,0,0
10/28/2015,9.1,8,24,100,28,21,14,12,10,7,78,53,28,1013,1011,1008,16,16,16,29,6,0,0
10/29/2015,16.8,15,19,79,27,19,11,18,12,9,96,66,35,1015,1012,1010,16,16,16,19,6,0,0
10/30/2015,5.7,5,24,100,24,22,19,23,21,18,100,90,79,1011,1007,1003,16,7,0,47,13,125.22,0
10/31/2015,2.9,2,24,100,25,22,18,23,18,15,100,82,64,1013,1007,1002,16,13,1,26,7,22.61,0
11/01/2015,7.7,7,22,92,24,19,15,15,14,12,97,75,53,1017,1014,1013,16,16,8,13,5,1.78,0
11/02/2015,13.2,12,23,96,26,20,14,16,14,13,100,75,50,1017,1015,1013,16,8,0,16,5,0,0
11/03/2015,15.6,14,24,100,27,21,14,17,15,13,100,74,47,1019,1016,1014,16,12,0,16,5,0,0
11/04/2015,11.9,10,24,100,26,21,16,20,18,15,100,82,64,1018,1016,1014,16,15,8,21,7,T,0
11/05/2015,11.1,10,24,100,29,26,22,23,22,21,100,83,65,1016,1015,1012,16,14,4,19,9,1.27,0
11/06/2015,11.4,10,24,100,24,20,15,22,12,6,87,62,37,1020,1018,1015,16,16,16,23,5,0.51,1
11/07/2015,8.3,8,24,100,17,16,13,14,12,6,100,79,57,1025,1022,1017,16,13,1,27,12,13.46,1
11/08/2015,6.3,6,22,92,22,17,12,8,6,5,72,56,39,1026,1024,1021,16,16,16,21,7,0,1
11/09/2015,24.4,23,24,100,23,17,11,13,10,7,83,66,49,1022,1020,1017,16,16,16,10,2,0,0
11/10/2015,15.3,14,24,100,23,19,16,19,17,13,90,82,73,1020,1016,1013,16,16,16,19,6,0,0
11/11/2015,2.8,2,24,100,29,25,21,22,18,-3,93,62,31,1016,1011,1009,16,16,16,21,12,0,0
11/12/2015,16.9,15,24,100,22,18,13,5,2,-3,51,36,20,1025,1022,1016,16,16,16,26,10,0,0
11/13/2015,12.3,11,24,100,18,16,13,6,4,3,57,47,37,1027,1025,1024,16,16,16,11,6,0,0
11/14/2015,6.8,6,24,100,18,16,12,11,8,4,83,66,48,1028,1026,1025,16,16,10,13,4,0.25,0
11/15/2015,7.1,7,22,92,21,17,12,17,12,8,87,73,58,1025,1022,1018,16,16,16,14,6,0,0
11/16/2015,6.8,6,24,100,24,21,18,22,19,17,100,92,84,1019,1011,1003,16,13,2,26,12,0.25,0
11/17/2015,12.2,11,23,96,24,16,8,21,13,6,93,69,44,1009,1004,1000,16,13,2,29,6,26.16,0
11/18/2015,27.2,25,21,88,22,14,6,7,6,4,93,64,35,1014,1011,1008,16,16,16,14,4,0,0
11/19/2015,39.9,37,24,100,26,17,8,11,8,5,86,59,32,1021,1019,1015,16,16,16,13,2,0,0
11/20/2015,18.5,17,24,100,25,18,11,16,13,9,93,67,40,1020,1017,1013,16,16,16,19,6,0,0
11/21/2015,6.3,6,24,100,19,12,5,17,8,-4,93,63,32,1028,1020,1013,16,15,11,35,12,T,0
11/22/2015,22.5,21,20,83,15,8,1,1,-2,-3,82,56,30,1029,1027,1024,16,16,16,13,3,0,0
11/23/2015,22.5,21,24,100,17,9,0,5,1,-2,92,61,30,1028,1026,1023,16,16,16,14,4,0,0
11/24/2015,23.1,22,24,100,18,13,8,14,10,6,80,74,67,1024,1021,1018,16,16,16,14,4,0,0
11/25/2015,12.6,11,24,100,23,20,17,18,16,14,93,77,61,1020,1018,1016,16,16,8,23,8,T,0
11/26/2015,4,4,24,100,23,22,20,22,21,17,100,91,81,1021,1019,1017,16,13,3,23,11,6.6,0
11/27/2015,3.2,3,24,100,23,14,5,22,14,4,100,94,87,1024,1021,1018,16,9,1,24,11,37.08,0
11/28/2015,0.8,0,24,100,7,6,4,6,4,3,100,91,82,1025,1024,1022,16,14,6,21,10,6.35,0
11/29/2015,2.6,2,22,92,8,7,6,7,6,4,96,91,86,1025,1022,1019,16,13,3,14,7,1.02,0
11/30/2015,6.9,6,24,100,13,10,7,9,7,6,100,86,72,1020,1018,1017,16,15,6,11,4,0,0
12/01/2015,21,20,18,75,15,12,8,8,6,4,93,72,51,1020,1017,1015,16,16,16,11,3,0,0
12/02/2015,13.4,12,24,100,20,13,6,9,4,-1,100,65,29,1026,1022,1018,16,15,0,14,5,0,0
12/03/2015,32.7,30,24,100,17,11,4,3,3,2,86,61,36,1030,1029,1026,16,16,16,13,2,0,0
12/04/2015,27.3,25,24,100,17,10,3,6,3,2,92,66,39,1033,1031,1029,16,16,16,14,2,0,0
12/05/2015,25.8,24,24,100,18,11,3,6,4,2,92,66,40,1033,1030,1028,16,16,16,14,3,0,0
12/07/2015,43.2,41,19,79,21,14,7,8,6,4,92,64,35,1028,1025,1021,16,16,6,11,2,0,0
12/08/2015,30.3,28,24,100,24,15,6,12,9,5,96,70,43,1021,1017,1013,16,16,13,19,4,0,0
12/09/2015,37.1,35,24,100,24,17,8,10,8,5,93,61,29,1018,1015,1013,16,16,13,13,3,0,0
12/10/2015,15.9,14,24,100,26,18,11,17,14,8,100,78,56,1013,1011,1008,16,13,4,16,7,0,0
12/11/2015,11,10,24,100,26,19,11,18,16,11,100,79,58,1012,1010,1008,16,9,0,23,10,0,0
12/12/2015,3,3,24,100,24,23,21,21,19,18,90,85,79,1010,1007,1003,16,15,10,27,14,0.25,0
12/13/2015,9.9,8,22,92,23,16,8,21,11,6,96,84,72,1009,1006,1002,16,10,1,37,6,39.12,0
12/14/2015,28.5,26,22,92,24,15,6,8,5,2,89,57,25,1011,1008,1007,16,16,16,16,5,0,0
12/15/2015,23,22,24,100,24,18,12,18,16,7,100,86,71,1009,1006,1004,16,16,13,14,7,0,0
12/16/2015,8.9,8,24,100,17,13,8,4,-2,-4,53,40,27,1017,1013,1009,16,16,16,24,12,0,0
12/17/2015,10.9,9,24,100,20,12,4,3,-1,-5,79,54,28,1025,1019,1015,16,16,16,23,6,0,0
12/18/2015,32.1,30,24,100,14,8,1,2,-1,-3,76,55,33,1031,1028,1025,16,16,16,21,5,0,0
12/19/2015,23.9,22,24,100,19,11,2,9,4,0,92,68,44,1033,1029,1027,16,16,16,21,7,0,0
12/20/2015,4.4,4,20,83,19,15,11,17,13,9,100,89,78,1028,1020,1015,16,16,8,21,8,T,0
12/21/2015,11.3,10,24,100,24,18,12,18,16,11,93,79,64,1016,1014,1012,16,15,8,13,3,0,0
12/22/2015,11,10,24,100,26,18,9,19,14,8,93,69,45,1013,1006,1000,16,16,16,21,8,0,0
12/23/2015,22.8,21,19,79,27,19,12,19,12,4,93,59,25,1006,1001,998,16,14,5,24,5,0,0
12/24/2015,21.7,20,24,100,23,17,11,17,13,8,93,81,68,1014,1010,1007,16,14,6,16,1,0,0
12/25/2015,14,13,24,100,21,16,11,19,12,6,93,77,61,1017,1014,1010,16,15,10,14,4,0,0
12/26/2015,0.5,0,20,83,26,23,21,21,21,20,93,85,76,1010,1006,1003,16,14,8,34,16,2.54,0
12/27/2015,1.8,1,22,92,23,13,2,21,8,1,93,89,84,1009,1005,1000,16,12,2,34,15,33.53,0
12/28/2015,6.3,6,19,79,8,5,2,1,-1,-2,92,75,58,1018,1014,1008,16,16,16,34,13,T,0
12/29/2015,17.7,16,24,100,9,6,3,6,2,0,92,74,56,1022,1019,1016,16,12,5,13,4,0.76,0
12/30/2015,11.6,10,24,100,14,9,5,7,6,4,100,80,59,1026,1024,1021,16,11,5,14,6,T,0
12/31/2015,10,9,24,100,12,8,4,4,4,3,93,78,63,1029,1027,1024,16,16,16,21,9,0,0
